ID,Player,Pos,Goals2019,Shots2019,Sh2019,Goals2020,Shots2020,Sh2020,id
8481813,Gaetan Haas,C,5,53,0.094339623,2,22,0.090909091,303
8471262,Carl Soderberg,C,9,106,0.08490566,2,45,0.044444444,304
8474062,Riley Nash,C,4,58,0.068965517,2,37,0.054054054,305
8476873,Mark Jankowski,C,5,33,0.151515152,2,27,0.074074074,306
8478432,Christian Fischer,R,5,81,0.061728395,2,40,0.05,307
8475236,Cody Eakin,C,4,53,0.075471698,2,36,0.055555556,308
8470612,Ryan Getzlaf,C,9,97,0.092783505,2,53,0.037735849,309
8476897,Oskar Sundqvist,C,11,82,0.134146341,2,23,0.086956522,310
8477401,John Hayden,C,3,39,0.076923077,2,21,0.095238095,311
8474034,Pat Maroon,L,8,64,0.125,2,38,0.052631579,312
8480901,Karson Kuhlman,C,0,42,0,2,31,0.064516129,313
8478585,Derek Ryan,C,8,89,0.08988764,2,29,0.068965517,314
8477494,Jonathan Drouin,L,6,37,0.162162162,2,67,0.029850746,315
8470775,Nate Thompson,C,4,60,0.066666667,2,18,0.111111111,316
8475178,Zack Kassian,R,15,90,0.166666667,2,18,0.111111111,317
8471794,Darren Helm,L,8,90,0.088888889,2,75,0.026666667,318
8477846,Ryan Carpenter,C,2,74,0.027027027,2,41,0.048780488,319
8475792,Brett Connolly,R,15,98,0.153061224,2,21,0.095238095,320
8475098,Tyler Bozak,C,10,82,0.12195122,2,24,0.083333333,321
8480002,Nico Hischier,C,11,88,0.125,2,29,0.068965517,322
8474068,Kyle Turris,C,7,60,0.116666667,2,20,0.1,323
8476913,Devin Shore,C,5,46,0.108695652,2,21,0.095238095,324
8470144,Frans Nielsen,C,3,70,0.042857143,1,23,0.043478261,325
8475807,Joakim Nordstrom,C,4,46,0.086956522,1,40,0.025,326
8480144,David Kampf,C,7,81,0.086419753,1,52,0.019230769,327
8474613,Derek Stepan,C,7,112,0.0625,1,36,0.027777778,328
8473463,Leo Komarov,R,2,41,0.048780488,1,24,0.041666667,329
8473449,Kyle Okposo,R,8,78,0.102564103,1,40,0.025,330
8478403,Jack Eichel,C,17,137,0.124087591,1,38,0.026315789,331
8481523,Kirby Dach,C,8,91,0.087912088,1,17,0.058823529,332
8474849,Antoine Roussel,L,6,44,0.136363636,1,22,0.045454545,333
8476858,Phillip Di Giuseppe,L,1,34,0.029411765,1,43,0.023255814,334
8475834,Marcus Sorensen,L,6,70,0.085714286,1,20,0.05,335
8475780,Chris Wagner,R,5,72,0.069444444,1,55,0.018181818,336
8471817,Ryan Reaves,R,8,60,0.133333333,1,26,0.038461538,337
8474291,Jay Beagle,C,1,44,0.022727273,1,20,0.05,338
8477936,Michael Dal Colle,L,4,55,0.072727273,1,19,0.052631579,339
8478424,Jansen Harkins,C,2,29,0.068965517,0,14,0,340
8478027,Lucas Wallmark,C,9,72,0.125,0,10,0,341
8477240,Carter Rowney,C,5,50,0.1,0,10,0,342
8479996,Cody Glass,C,4,46,0.086956522,0,19,0,343
8474685,Matt Calvert,L,8,75,0.106666667,0,23,0,344
8475413,Justin Dowling,C,3,27,0.111111111,0,23,0,345
8479353,Brett Howden,C,7,57,0.122807018,0,31,0,346
8478020,Michael Amadio,C,6,77,0.077922078,0,20,0,347
